年月日,開盤價(元),收盤價(元)
2018/1/2,11.0288,11.2476
2018/1/3,11.2914,11.1601
2018/1/4,11.2476,11.1163
2018/1/5,11.2914,11.2476
2018/1/8,11.3352,11.729
2018/1/9,11.7728,11.9916
2018/1/10,12.2542,12.2542
2018/1/11,12.2105,12.1667
2018/1/12,12.3418,12.1667
2018/1/15,12.1667,11.4227
2018/1/16,11.3789,11.554
2018/1/17,11.4665,11.2914
2018/1/18,11.2914,11.0726
2018/1/19,11.0726,11.1601
2018/1/22,11.2039,10.985
2018/1/23,11.0288,11.1601
2018/1/24,11.2476,11.4227
2018/1/25,11.554,11.5978
2018/1/26,11.6415,11.5102
2018/1/29,11.554,11.554
2018/1/30,11.6415,11.4227
2018/1/31,11.1601,11.3352
2018/2/1,11.3352,11.2476
2018/2/2,11.2914,11.2476
2018/2/5,10.8975,11.2476
2018/2/6,10.81,10.7224
2018/2/7,10.9413,10.7224
2018/2/8,10.7662,10.6787
2018/2/9,10.1973,10.8975
2018/2/12,11.1163,11.2039
2018/2/21,11.4665,11.8603
2018/2/22,12.0354,11.9041
2018/2/23,11.9916,11.8166
2018/2/26,12.2542,11.9041
2018/2/27,12.0792,11.7728
2018/3/1,11.6853,12.1229
2018/3/2,11.9479,11.8603
2018/3/5,11.8166,10.6787
2018/3/6,10.8537,10.8975
2018/3/7,10.8975,10.81
2018/3/8,10.81,10.9413
2018/3/9,11.2039,10.7662
2018/3/12,10.81,10.81
2018/3/13,10.81,10.8537
2018/3/14,10.8537,10.7662
2018/3/15,10.6787,10.81
2018/3/16,10.81,10.7224
2018/3/19,10.7224,10.5474
2018/3/20,10.5474,10.5912
2018/3/21,10.6349,10.5912
2018/3/22,10.5912,10.3286
2018/3/23,9.8034,9.5846
2018/3/26,9.5846,9.497
2018/3/27,9.7596,9.7596
2018/3/28,9.7596,10.0222
2018/3/29,10.1535,10.1097
2018/3/30,10.1535,10.1535
2018/3/31,10.1973,10.3286
2018/4/2,10.3723,10.4161
2018/4/3,10.3286,10.3286
2018/4/9,10.5036,10.5036
2018/4/10,10.5912,10.3286
2018/4/11,10.3286,10.1535
2018/4/12,10.1535,9.8909
2018/4/13,9.8909,9.9347
2018/4/16,9.9784,9.7596
2018/4/17,9.8471,9.7596
2018/4/18,9.7159,9.7596
2018/4/19,9.8034,9.8471
2018/4/20,9.8471,9.9784
2018/4/23,10.066,9.8034
2018/4/24,9.8471,9.6283
2018/4/25,9.4533,9.5408
2018/4/26,9.5408,9.4095
2018/4/27,9.4533,9.4533
2018/4/30,9.4533,9.4533
2018/5/2,9.4533,9.1907
2018/5/3,9.1907,9.0594
2018/5/4,9.1469,9.1907
2018/5/7,9.2344,9.0594
2018/5/8,9.1031,9.2782
2018/5/9,9.1907,9.1031
2018/5/10,9.322,9.6283
2018/5/11,9.6283,9.5408
2018/5/14,9.7159,9.497
2018/5/15,9.497,9.5408
2018/5/16,9.5408,9.4533
2018/5/17,9.5846,9.5408
2018/5/18,9.5408,9.6283
2018/5/21,9.6721,9.6721
2018/5/22,9.7159,9.7159
2018/5/23,9.7159,9.5846
2018/5/24,9.6283,9.6283
2018/5/25,9.6283,9.4533
2018/5/28,9.4533,9.5408
2018/5/29,9.5408,9.9784
2018/5/30,9.8471,9.8471
2018/5/31,9.8909,10.0222
2018/6/1,10.066,10.3723
2018/6/4,10.4599,10.6787
2018/6/5,10.6787,10.5912
2018/6/6,10.6349,10.5474
2018/6/7,10.6349,10.7224
2018/6/8,10.8537,10.8537
2018/6/11,10.985,10.8537
2018/6/12,10.8975,10.9413
2018/6/13,11.0288,10.8537
2018/6/14,10.8537,10.5912
2018/6/15,10.7662,10.6787
2018/6/19,10.81,10.8537
2018/6/20,10.8975,11.0288
2018/6/21,11.2039,11.0288
2018/6/22,11.0288,11.0288
2018/6/25,11.2039,11.2914
2018/6/26,11.2039,11.3352
2018/6/27,11.3789,11.5102
2018/6/28,11.5102,11.4227
2018/6/29,11.4227,11.0726
2018/7/2,11.1163,11.3352
2018/7/3,11.3789,10.8537
2018/7/4,10.9413,11.0726
2018/7/5,11.0726,10.985
2018/7/6,11.0288,11.3352
2018/7/9,11.4227,11.3789
2018/7/10,11.4665,11.3789
2018/7/11,11.3789,11.6853
2018/7/12,11.6853,11.6853
2018/7/13,11.6415,11.5102
2018/7/16,11.554,11.5102
2018/7/17,11.5102,11.6853
2018/7/18,11.729,11.6853
2018/7/19,11.6853,11.6415
2018/7/20,11.5978,11.3352
2018/7/23,11.3789,11.3789
2018/7/24,11.4665,11.7728
2018/7/25,11.729,11.9479
2018/7/26,11.9916,12.0792
2018/7/27,12.1667,12.1667
2018/7/30,12.2105,12.3855
2018/7/31,12.4293,12.4731
2018/8/1,12.5168,12.4293
2018/8/2,12.4293,12.2542
2018/8/3,12.298,12.1229
2018/8/6,12.2542,12.3855
2018/8/7,12.3855,12.298
2018/8/8,12.298,12.1667
2018/8/9,12.1667,12.2105
2018/8/10,12.3418,12.4731
2018/8/13,12.5168,12.6481
2018/8/14,12.8232,13.6547
2018/8/15,13.8735,13.6547
2018/8/16,13.3921,13.4359
2018/8/17,13.5672,13.1295
2018/8/20,13.4359,12.7356
2018/8/21,12.9545,13.1733
2018/8/22,13.2608,13.1295
2018/8/23,13.2171,13.5672
2018/8/24,13.5672,13.1733
2018/8/27,13.2171,13.0858
2018/8/28,12.9982,12.6481
2018/8/29,12.6919,12.2542
2018/8/30,12.4293,12.5168
2018/8/31,12.4293,12.2542
2018/9/3,12.2542,11.9479
2018/9/4,11.9479,12.0792
2018/9/5,12.0792,11.9479
2018/9/6,11.9479,11.5102
2018/9/7,11.4665,11.8166
2018/9/10,11.729,11.3789
2018/9/11,11.4227,11.5102
2018/9/12,11.5102,11.5978
2018/9/13,11.6853,11.6853
2018/9/14,11.729,11.729
